Dataset Index,Size,Time (s)
0,10,1.2042000889778137e-05
1,30,1.7291982658207417e-05
2,50,4.299997817724943e-05
3,70,8.041597902774811e-05
4,90,0.00013604102423414588
5,110,0.00021654099691659212
6,130,0.00040391599759459496
7,150,0.0003601249773055315
8,170,0.0004706250037997961
9,190,0.0006107499939389527
10,210,0.0007429589750245214
11,230,0.0008870830060914159
12,250,0.0010295830434188247
13,270,0.0012424589949660003
14,290,0.00146491703344509
15,310,0.0015283749671652913
16,330,0.0018636250169947743
17,350,0.0020687079522758722
18,370,0.0022672080085612833
19,390,0.0026251249946653843
20,410,0.0029194579692557454
21,430,0.0033811249886639416
22,450,0.003632500011008233
23,470,0.0038659170386381447
24,490,0.004346666974015534
25,510,0.00471825001295656
26,530,0.005107041972223669
27,550,0.005592708010226488
28,570,0.00606066599721089
29,590,0.006595916987862438
30,610,0.0067009589984081686
31,630,0.007391625025775284
32,650,0.00792479095980525
33,670,0.008404541993513703
34,690,0.009022500016726553
35,710,0.009332749992609024
36,730,0.009808667004108429
37,750,0.010352541983593255
38,770,0.011156958003994077
39,790,0.011495000042486936
40,810,0.012596708023920655
41,830,0.012925125018227845
42,850,0.013808250019792467
43,870,0.014270542014855891
44,890,0.015033249976113439
45,910,0.016006457968614995
46,930,0.016100999957416207
47,950,0.017121541022788733
48,970,0.017837124993093312
49,990,0.018601167015731335
50,1010,0.019227290991693735
51,1030,0.02047462499467656
52,1050,0.02913945895852521
53,1070,0.023280708002857864
54,1090,0.022870666987728328
55,1110,0.023958874982781708
56,1130,0.0244877910008654
57,1150,0.02538145799189806
58,1170,0.026087582984473556
59,1190,0.027100290986709297
60,1210,0.028645166021306068
61,1230,0.029253999993670732
62,1250,0.030546708963811398
63,1270,0.0304666250012815
64,1290,0.031896542001049966
65,1310,0.032693957968149334
66,1330,0.03366512496722862
67,1350,0.03441733296494931
68,1370,0.0370371249737218
69,1390,0.052787624998018146
70,1410,0.04507975000888109
71,1430,0.04600608302280307
72,1450,0.054847707971930504
73,1470,0.06437354197259992
74,1490,0.0457957920152694
75,1510,0.04385600000387058
76,1530,0.045027082960586995
77,1550,0.046528249979019165
78,1570,0.048146416957024485
79,1590,0.04930470802355558
80,1610,0.050485000014305115
81,1630,0.051616541983094066
82,1650,0.05278637498850003
83,1670,0.05437529197661206
84,1690,0.0554635000298731
85,1710,0.05972108303103596
86,1730,0.06225600000470877
87,1750,0.06333766697207466
88,1770,0.06448979204287753
89,1790,0.06552612502127886
90,1810,0.06584624998504296
91,1830,0.06572299997787923
92,1850,0.06949229200836271
93,1870,0.0792691659880802
94,1890,0.07360908295959234
95,1910,0.09334041702095419
96,1930,0.07564662501681596
97,1950,0.0795002500526607
98,1970,0.07997900003101677
99,1990,0.08192004094598815
100,2010,0.08359470905270427
101,2030,0.08554433396784589
102,2050,0.08706304099177942
103,2070,0.0887088329764083
104,2090,0.08932087500579655
105,2110,0.09543691697763279
106,2130,0.0931622080388479
107,2150,0.0929910410195589
108,2170,0.11363924999022856
109,2190,0.09702229202957824
110,2210,0.09743291698396206
111,2230,0.10213775001466274
112,2250,0.10461254097754136
113,2270,0.10316691600019112
114,2290,0.10380729095777497
115,2310,0.10961970896460116
116,2330,0.10963545803679153
117,2350,0.10458554199431092
118,2370,0.10634866601321846
119,2390,0.10904454195406288
120,2410,0.11094320798292756
121,2430,0.11254929198184982
122,2450,0.11326120799640194
123,2470,0.11548870801925659
124,2490,0.1181682919850573
125,2510,0.1201764169964008
126,2530,0.12315087497700006
127,2550,0.12408458301797509
128,2570,0.12657941598445177
129,2590,0.12834558403119445
130,2610,0.12912599998526275
131,2630,0.13134179200278595
132,2650,0.1341096250107512
133,2670,0.13904187502339482
134,2690,0.13587954203831032
135,2710,0.14051358302822337
136,2730,0.1424100419972092
137,2750,0.14733370899921283
138,2770,0.14718599995831028
139,2790,0.15446491696638986
140,2810,0.152049291995354
141,2830,0.1570377919706516
142,2850,0.1572202910319902
143,2870,0.15761070896405727
144,2890,0.15755699999863282
145,2910,0.16154925001319498
146,2930,0.16422958398470655
147,2950,0.16729729098733515
148,2970,0.1668604169972241
149,2990,0.16969316598260775
150,3010,0.1736285419901833
151,3030,0.17688487499253824
152,3050,0.17762604198651388
153,3070,0.18066695798188448
154,3090,0.18246179103152826
155,3110,0.18453612498706207
156,3130,0.18739112501498312
157,3150,0.18839179200585932
158,3170,0.1938445420237258
159,3190,0.19315095798810944
160,3210,0.19736970798112452
161,3230,0.19949033297598362
162,3250,0.20238129200879484
163,3270,0.2040161250042729
164,3290,0.2067208749940619
165,3310,0.21292370796436444
166,3330,0.2118953749886714
167,3350,0.21632679202593863
168,3370,0.21689754200633615
169,3390,0.21982062503229827
170,3410,0.22382212500087917
171,3430,0.22368279204238206
172,3450,0.23144833301194012
173,3470,0.23092950001591817
174,3490,0.23418066697195172
175,3510,0.23544966598274186
176,3530,0.23585629201261327
177,3550,0.24191500002052635
178,3570,0.24505220795981586
179,3590,0.24730454199016094
180,3610,0.2522585419937968
181,3630,0.2526725000352599
182,3650,0.25897249998524785
183,3670,0.2575630830251612
184,3690,0.26142595801502466
185,3710,0.2636021250509657
186,3730,0.2687982090283185
187,3750,0.26773754198802635
188,3770,0.275693167001009
189,3790,0.27666208299342543
190,3810,0.27510145801352337
191,3830,0.28189562499755993
192,3850,0.28524929098784924
193,3870,0.2854806249961257
194,3890,0.2909936659852974
195,3910,0.2948519170167856
196,3930,0.2980057089589536
197,3950,0.29906808299710974
198,3970,0.3044725410290994
199,3990,0.3072836250066757
