Dataset Index,Size,Time (s)
0,100,6.612500874325633e-05
1,150,0.00012270797742530704
2,200,0.0005737500032410026
3,250,0.00044891703873872757
4,300,0.0013015830190852284
5,350,0.0018254580209031701
6,400,0.002124957973137498
7,450,0.002883082954213023
8,500,0.004357874975539744
9,550,0.005129249999299645
10,600,0.006870916986372322
11,650,0.007582916994579136
12,700,0.00425037503009662
13,750,0.003654374973848462
14,800,0.012285707984119654
15,850,0.010474167007487267
16,900,0.014221124991308898
17,950,0.01849645801121369
18,1000,0.014023791998624802
19,1050,0.022421124973334372
20,1100,0.011371792003046721
21,1150,0.019744499993976206
22,1200,0.025082499952986836
23,1250,0.022703499998897314
24,1300,0.022503792017232627
25,1350,0.0312363330158405
26,1400,0.032757500011939555
27,1450,0.01110979198710993
28,1500,0.033295499975793064
29,1550,0.04481687501538545
30,1600,0.013642167032230645
31,1650,0.028257291996851563
32,1700,0.05589045799570158
33,1750,0.05389866704354063
34,1800,0.052628375007770956
35,1850,0.02007804100867361
36,1900,0.06286341598024592
37,1950,0.06676941696787253
38,2000,0.04909166699508205
39,2050,0.07555987499654293
40,2100,0.08265599998412654
41,2150,0.026345209043938667
42,2200,0.08915616699960083
43,2250,0.1054863749886863
44,2300,0.06777904200134799
45,2350,0.09926749998703599
46,2400,0.11190100002568215
47,2450,0.11916087503777817
48,2500,0.07717829197645187
49,2550,0.08959008299279958
50,2600,0.11881750001339242
51,2650,0.13252741697942838
52,2700,0.09823566599516198
53,2750,0.13127266598166898
54,2800,0.03255325002828613
55,2850,0.1550371249904856
56,2900,0.130680458038114
57,2950,0.12101083400193602
58,3000,0.17944883299060166
59,3050,0.1305084580089897
60,3100,0.11861891602165997
61,3150,0.1907498330110684
62,3200,0.1274448330514133
63,3250,0.20196904201293364
64,3300,0.10424937499919906
65,3350,0.21144033299060538
66,3400,0.23186470801010728
67,3450,0.14295700000366196
68,3500,0.2312571249785833
69,3550,0.19493216701084748
70,3600,0.16361787501955405
71,3650,0.133016417035833
72,3700,0.17240420903544873
73,3750,0.6716399999568239
74,3800,0.508116458018776
75,3850,0.8868183749727905
76,3900,1.4335392079665326
77,3950,1.485041124979034
78,4000,1.1242542910040356
79,4050,0.9177617920213379
80,4100,0.8158334160107188
81,4150,0.34679608297301456
82,4200,1.413553124992177
83,4250,0.41410500003257766
84,4300,0.6619704169570468
85,4350,0.42482750001363456
86,4400,0.3890107920160517
87,4450,0.12345241702860221
88,4500,0.10478937497828156
89,4550,0.33783633302664384
90,4600,0.18360458395909518
91,4650,0.2490890830522403
92,4700,0.30250258301384747
93,4750,0.26063074998091906
94,4800,0.4880565410130657
95,4850,0.16113433404825628
96,4900,0.16267599997809157
97,4950,0.24258808395825326
98,5000,0.48888237500796095
99,5050,0.38323508301982656
100,5100,0.21649316599359736
101,5150,0.39887291699415073
102,5200,0.5549803749890998
103,5250,0.5701974580297247
104,5300,0.5740657499991357
105,5350,0.1909323749714531
106,5400,0.5812148749828339
107,5450,0.3654180000303313
108,5500,0.5336900840047747
109,5550,0.2178120840108022
110,5600,0.3781996669713408
111,5650,0.6454817919875495
112,5700,0.6518264579935931
113,5750,0.6651387920137495
114,5800,0.4812724170042202
115,5850,0.2291335000190884
116,5900,0.7212105839862488
117,5950,0.4594592080102302
118,6000,0.7505271249683574
119,6050,0.6951471659704112
120,6100,0.672528124996461
121,6150,0.7842270830296911
122,6200,0.4790897499769926
123,6250,0.8187389160157181
124,6300,0.6133250840357505
125,6350,0.2594137499690987
126,6400,0.7580954160075635
127,6450,0.49274716700892895
128,6500,0.8104246670263819
129,6550,0.8741385420435108
130,6600,0.9061223749886267
131,6650,0.6825961249996908
132,6700,0.5160756249679253
133,6750,0.7785306669538841
134,6800,0.648184499994386
135,6850,0.7447055000229739
136,6900,0.9731636249925941
137,6950,1.0703341669868678
138,7000,1.0081010420108214
139,7050,1.0403733749990351
140,7100,1.162217375007458
141,7150,0.8001705830101855
142,7200,0.6029974999837577
143,7250,0.672988666978199
144,7300,1.0718670830246992
145,7350,1.0560552919632755
146,7400,0.6838820830453187
147,7450,1.1116473749862053
148,7500,0.6981982080033049
149,7550,0.7211923330323771
150,7600,0.6671271250233985
151,7650,1.0460495420265943
152,7700,0.6818448329577222
153,7750,0.9778166250325739
154,7800,0.8811352500342764
155,7850,1.2334284590324387
156,7900,1.1622540839598514
157,7950,1.6142143749748357
158,8000,1.3498305839602835
159,8050,1.2523471250315197
160,8100,0.818931124988012
161,8150,0.800733583047986
162,8200,0.8413064170163125
163,8250,0.8007644999888726
164,8300,1.45364487497136
165,8350,1.1138280839659274
166,8400,1.0750852089840919
167,8450,1.1080413339659572
168,8500,0.8699976660427637
169,8550,1.264565167017281
170,8600,1.101514792011585
171,8650,1.4755392500082962
172,8700,1.132561624981463
173,8750,1.3683026660000905
174,8800,0.9392098329844885
175,8850,1.7990395830129273
176,8900,1.212258041021414
177,8950,1.1961845000041649
178,9000,1.3099454590119421
179,9050,1.5205628339899704
180,9100,1.4093633329612203
181,9150,1.5646193329594098
182,9200,1.2491307499585673
183,9250,0.9928912500035949
184,9300,1.961092415964231
185,9350,1.026102458999958
186,9400,1.7431302499608137
187,9450,1.4008910420234315
188,9500,1.7724220830132253
189,9550,1.08011591702234
190,9600,1.6057229170110077
191,9650,1.3479454169864766
192,9700,1.2792889580014162
193,9750,1.325690834026318
194,9800,1.5893212500377558
195,9850,1.5031656669452786
196,9900,1.3912665420211852
197,9950,1.3902550420025364
198,10000,1.4105944170150906
199,10050,1.6507439999841154
