Dataset Index,Size,Time (s)
0,100,2.84170382656157e-05
1,150,2.562499139457941e-05
2,200,2.7207948733121157e-05
3,250,3.32500203512609e-05
4,300,2.983299782499671e-05
5,350,4.499999340623617e-05
6,400,5.329196574166417e-05
7,450,6.262498209252954e-05
8,500,6.42499653622508e-05
9,550,5.787500413134694e-05
10,600,7.79160181991756e-05
11,650,0.0001016249880194664
12,700,8.600001456215978e-05
13,750,8.800002979114652e-05
14,800,0.00010854197898879647
15,850,9.470898658037186e-05
16,900,0.00010237499373033643
17,950,0.00011658400762826204
18,1000,0.0001301250304095447
19,1050,0.00012904196046292782
20,1100,0.0001206250162795186
21,1150,0.00011304201325401664
22,1200,0.00013000000035390258
23,1250,0.00014825002290308475
24,1300,0.00010699999984353781
25,1350,0.00012733397306874394
26,1400,0.0001194169744849205
27,1450,0.00014712504344061017
28,1500,0.0001253749942407012
29,1550,0.0001807080116122961
30,1600,0.0001599160023033619
31,1650,0.00012799998512491584
32,1700,0.000191875034943223
33,1750,0.0002037500380538404
34,1800,0.0002068330068141222
35,1850,0.00020158302504569292
36,1900,0.0002227500081062317
37,1950,0.00023424997925758362
38,2000,0.0001852919813245535
39,2050,0.00023129204055294394
40,2100,0.00024087500059977174
41,2150,0.00025391695089638233
42,2200,0.0002691250410862267
43,2250,0.0002892920165322721
44,2300,0.000267457973677665
45,2350,0.0002739159972406924
46,2400,0.0002774589811451733
47,2450,0.0002994579845108092
48,2500,0.00025416596326977015
49,2550,0.00023045798297971487
50,2600,0.0002976250252686441
51,2650,0.00031824997859075665
52,2700,0.00032237498089671135
53,2750,0.0003463340108282864
54,2800,0.0002982919686473906
55,2850,0.0003679580404423177
56,2900,0.00033900002017617226
57,2950,0.00034083303762599826
58,3000,0.0003428749623708427
59,3050,0.00038487499114125967
60,3100,0.000326167035382241
61,3150,0.00038837501779198647
62,3200,0.0002864580019377172
63,3250,0.00040395901305601
64,3300,0.00034316600067541003
65,3350,0.000418792013078928
66,3400,0.0004109170404262841
67,3450,0.0003225830150768161
68,3500,0.0004331670352257788
69,3550,0.0004099580110050738
70,3600,0.0003802920109592378
71,3650,0.0003701249952428043
72,3700,0.0003565829829312861
73,3750,0.00044308300130069256
74,3800,0.0004694170202128589
75,3850,0.00047216599341481924
76,3900,0.0004648749600164592
77,3950,0.0004611669573932886
78,4000,0.0004823749768547714
79,4050,0.0004818749730475247
80,4100,0.0004825829528272152
81,4150,0.0004906670073978603
82,4200,0.0005487920134328306
83,4250,0.00045849999878555536
84,4300,0.0005275000003166497
85,4350,0.0005169999785721302
86,4400,0.0005590420332737267
87,4450,0.0004817500011995435
88,4500,0.00048766605323180556
89,4550,0.0005505000008270144
90,4600,0.00046183395897969604
91,4650,0.0005236249999143183
92,4700,0.0005145419854670763
93,4750,0.0004711669753305614
94,4800,0.0006097920122556388
95,4850,0.000547958945389837
96,4900,0.000554541009478271
97,4950,0.0005239580059424043
98,5000,0.0005925000295974314
99,5050,0.0005866250139661133
100,5100,0.0005315000307746232
101,5150,0.000613874988630414
102,5200,0.0006537919980473816
103,5250,0.0006756659713573754
104,5300,0.0006433749804273248
105,5350,0.0005580420256592333
106,5400,0.000722082972060889
107,5450,0.0006314999773167074
108,5500,0.000717707967851311
109,5550,0.0005981249851174653
110,5600,0.0005949159967713058
111,5650,0.0007278750417754054
112,5700,0.0007011250127106905
113,5750,0.0007433750433847308
114,5800,0.0006622500368393958
115,5850,0.0006512500112876296
116,5900,0.0007497500046156347
117,5950,0.0006814579828642309
118,6000,0.000805665971711278
119,6050,0.0007669999613426626
120,6100,0.0007574170012958348
121,6150,0.000774916959926486
122,6200,0.0007002499769441783
123,6250,0.000785792013630271
124,6300,0.0007657089736312628
125,6350,0.0006858750130049884
126,6400,0.0007996660424396396
127,6450,0.0007485829992219806
128,6500,0.000832833000458777
129,6550,0.0008304580114781857
130,6600,0.0008362079970538616
131,6650,0.0007888330146670341
132,6700,0.0007662500138394535
133,6750,0.0008054999634623528
134,6800,0.000799542001914233
135,6850,0.0008389159920625389
136,6900,0.0009134580031968653
137,6950,0.0008788749692030251
138,7000,0.0008963749860413373
139,7050,0.0008834580075927079
140,7100,0.0008988330373540521
141,7150,0.0008358749910257757
142,7200,0.0008171669906005263
143,7250,0.000838334031868726
144,7300,0.000961375015322119
145,7350,0.0009138749446719885
146,7400,0.0008410420268774033
147,7450,0.0009992080158554018
148,7500,0.0009298750082962215
149,7550,0.0008367919945158064
150,7600,0.0008277499582618475
151,7650,0.000912416959181428
152,7700,0.0008233749540522695
153,7750,0.000994292029645294
154,7800,0.0008796670008450747
155,7850,0.0009535410208627582
156,7900,0.0009528339724056423
157,7950,0.0009692499879747629
158,8000,0.000980582961346954
