Dataset Index,Size,Time (s)
0,100,7.587502477690578e-05
1,150,0.00015295896446332335
2,200,6.649998249486089e-05
3,250,0.00029741699108853936
4,300,0.000252624973654747
5,350,0.00015999999595806003
6,400,0.00016833300469443202
7,450,0.00019679201068356633
8,500,0.000196124950889498
9,550,0.0005457089864648879
10,600,0.0002490420010872185
11,650,0.0002364999963901937
12,700,0.0005735000013373792
13,750,0.0013144580298103392
14,800,0.00029808300314471126
15,850,0.001883958000689745
16,900,0.0004389170208014548
17,950,0.00039612501859664917
18,1000,0.00046979199396446347
19,1050,0.0004164170240983367
20,1100,0.0018368749879300594
21,1150,0.0011347499676048756
22,1200,0.0011170830111950636
23,1250,0.0006512499530799687
24,1300,0.004318792023696005
25,1350,0.0019902500207535923
26,1400,0.00345429201843217
27,1450,0.007075125002302229
28,1500,0.004820709000341594
29,1550,0.0008327909745275974
30,1600,0.00520200002938509
31,1650,0.005736167018767446
32,1700,0.0008015409694053233
33,1750,0.0008441669633612037
34,1800,0.0009086250211112201
35,1850,0.004780040995683521
36,1900,0.0009215000318363309
37,1950,0.000993209017906338
38,2000,0.004208916972856969
39,2050,0.0010440829792059958
40,2100,0.0010186669533140957
41,2150,0.007509791990742087
42,2200,0.001094500010367483
43,2250,0.0010898750042542815
44,2300,0.0012330419849604368
45,2350,0.0012404999579302967
46,2400,0.0011944169527851045
47,2450,0.001168082992080599
48,2500,0.012424749962519854
49,2550,0.009784583991859108
50,2600,0.0013364999904297292
51,2650,0.0014467500150203705
52,2700,0.0012125829816795886
53,2750,0.0013045420055277646
54,2800,0.013366625003982335
55,2850,0.0014819169882684946
56,2900,0.0016274999943561852
57,2950,0.0016579170478507876
58,3000,0.0015652499860152602
59,3050,0.0015932079986669123
60,3100,0.001880624971818179
61,3150,0.001664249983150512
62,3200,0.007658166054170579
63,3250,0.001787374960258603
64,3300,0.017597624973859638
65,3350,0.0019592909957282245
66,3400,0.002065290987957269
67,3450,0.009830916998907924
68,3500,0.002035040990449488
69,3550,0.002058417012449354
70,3600,0.02794579096371308
71,3650,0.02914454200072214
72,3700,0.022714208986144513
73,3750,0.002613874967209995
74,3800,0.002066457993350923
75,3850,0.00197425001533702
76,3900,0.002480124996509403
77,3950,0.002150709042325616
78,4000,0.0021546250209212303
79,4050,0.0021784999989904463
80,4100,0.002121291996445507
81,4150,0.030280583014246076
82,4200,0.0023429159773513675
83,4250,0.0031084580114111304
84,4300,0.002462874981574714
85,4350,0.0025606249691918492
86,4400,0.0023514589993283153
87,4450,0.03432841598987579
88,4500,0.03724195796530694
89,4550,0.002533791004680097
90,4600,0.03587129199877381
91,4650,0.0043301249970681965
92,4700,0.0048897090018726885
93,4750,0.03453633299795911
94,4800,0.00276658299844712
95,4850,0.04079270799411461
96,4900,0.04170683299889788
97,4950,0.03880904201650992
98,5000,0.0028227909933775663
99,5050,0.0029987499583512545
100,5100,0.040043250017333776
101,5150,0.003096417000051588
102,5200,0.0028004589839838445
103,5250,0.003277749987319112
104,5300,0.003056375018786639
105,5350,0.04222699999809265
106,5400,0.0031959160114638507
107,5450,0.005395209009293467
108,5500,0.003011499997228384
109,5550,0.043920708005316556
110,5600,0.006564749986864626
111,5650,0.0033119169529527426
112,5700,0.0035373749560676515
113,5750,0.003357957990374416
114,5800,0.006993125018198043
115,5850,0.05704020895063877
116,5900,0.0035727089853025973
117,5950,0.005186749971471727
118,6000,0.003537957963999361
119,6050,0.004238291992805898
120,6100,0.003985333954915404
121,6150,0.003642416966613382
122,6200,0.005832708964589983
123,6250,0.003822915954515338
124,6300,0.003969874989707023
125,6350,0.06633187498664483
126,6400,0.0038369169924408197
127,6450,0.008079832943622023
128,6500,0.003971291007474065
