Dataset Index,Size,Time (s)
0,10,9.707990102469921e-06
1,30,1.691700890660286e-05
2,50,4.233396612107754e-05
3,70,8.133298251777887e-05
4,90,0.00012854201486334205
5,110,0.00020216696429997683
6,130,0.00026770803378894925
7,150,0.00035191699862480164
8,170,0.00045487500028684735
9,190,0.0005895419744774699
10,210,0.0007632499909959733
11,230,0.0008914580103009939
12,250,0.0009562080376781523
13,270,0.001071666949428618
14,290,0.0012957500293850899
15,310,0.0014571250067092478
16,330,0.0016934580053202808
17,350,0.0019390000379644334
18,370,0.002153458015527576
19,390,0.002616249956190586
20,410,0.002801291993819177
21,430,0.003082500013988465
22,450,0.003396082960534841
23,470,0.0037970839766785502
24,490,0.004014624981209636
25,510,0.0045447499724105
26,530,0.004876708029769361
27,550,0.005137084051966667
28,570,0.005829583969898522
29,590,0.00587133300723508
30,610,0.006421250000130385
31,630,0.006862458016257733
32,650,0.007323041034396738
33,670,0.007825415988918394
34,690,0.00863345799734816
35,710,0.008975540986284614
36,730,0.009206208982504904
37,750,0.010239708994049579
38,770,0.010704000014811754
39,790,0.010917084000539035
40,810,0.012163332954514772
41,830,0.01264920795802027
42,850,0.013099709001835436
43,870,0.013819042011164129
44,890,0.014515999995637685
45,910,0.015253082965500653
46,930,0.015612167015206069
47,950,0.016663040965795517
48,970,0.017237374966498464
49,990,0.01807270903373137
50,1010,0.019059417012613267
51,1030,0.019816124986391515
52,1050,0.02069983398541808
53,1070,0.0211235000169836
54,1090,0.021947708970401436
55,1110,0.023199041024781764
56,1130,0.02366008301032707
57,1150,0.024198499973863363
58,1170,0.025318290980067104
59,1190,0.026080042007379234
60,1210,0.02748337498633191
61,1230,0.028210374992340803
62,1250,0.02945387503132224
63,1270,0.029582959017716348
64,1290,0.031087999988812953
65,1310,0.03205229097511619
66,1330,0.032627000007778406
67,1350,0.03396400000201538
68,1370,0.03571412496967241
69,1390,0.0360696249990724
70,1410,0.03706745902309194
71,1430,0.03848037502029911
72,1450,0.04006470798049122
73,1470,0.040517250017728657
74,1490,0.04123162501491606
75,1510,0.04207554098684341
76,1530,0.04398758301977068
77,1550,0.04539829201530665
78,1570,0.046787916973698884
79,1590,0.0476146669825539
80,1610,0.04938916600076482
81,1630,0.050604541960638016
82,1650,0.051250249962322414
83,1670,0.05234120803652331
84,1690,0.05421170801855624
85,1710,0.05523216596338898
86,1730,0.05602129199542105
87,1750,0.057388167013414204
88,1770,0.059148749976884574
89,1790,0.060592291003558785
90,1810,0.06211016699671745
91,1830,0.06291708303615451
92,1850,0.06397062505129725
93,1870,0.06685716600622982
94,1890,0.06727045896695927
95,1910,0.06846304202917963
96,1930,0.07125741697382182
97,1950,0.07280174997868016
98,1970,0.07192908402066678
99,1990,0.07441187504446134
100,2010,0.07617866597138345
101,2030,0.07753125001909211
102,2050,0.07916862500132993
103,2070,0.08079812495270744
104,2090,0.08224295900436118
105,2110,0.08585883397608995
106,2130,0.08601087500574067
107,2150,0.08666125003946945
108,2170,0.08883212500950322
109,2190,0.0910771670169197
110,2210,0.09203858399996534
111,2230,0.0941321249702014
112,2250,0.09663979097967967
113,2270,0.09623841603752226
114,2290,0.09964541700901464
115,2310,0.10109487496083602
116,2330,0.10242862498853356
117,2350,0.10373879200778902
118,2370,0.10587912501068786
119,2390,0.10813658399274573
120,2410,0.1095716250129044
121,2430,0.11108691699337214
122,2450,0.11271941696759313
123,2470,0.1152535830042325
124,2490,0.11766466702101752
125,2510,0.11852766602532938
126,2530,0.12202991603408009
127,2550,0.12285300000803545
128,2570,0.12621075002243742
129,2590,0.12777591694612056
130,2610,0.12827545800246298
131,2630,0.13058220798848197
132,2650,0.1336032499675639
133,2670,0.13518333400133997
134,2690,0.1347527499892749
135,2710,0.14038041600724682
136,2730,0.14105458301492035
137,2750,0.14275933301541954
138,2770,0.14678208297118545
139,2790,0.14855158398859203
140,2810,0.15001329098595306
141,2830,0.1535035000415519
142,2850,0.15527241601375863
143,2870,0.15620000002672896
144,2890,0.15740233298856765
145,2910,0.16076583304675296
146,2930,0.16356879100203514
147,2950,0.16663799999514595
148,2970,0.16681749996496364
149,2990,0.16782966698519886
150,3010,0.17187070898944512
151,3030,0.17611179099185392
152,3050,0.17673983401618898
153,3070,0.17845716699957848
154,3090,0.18163095897762105
155,3110,0.18393545900471509
156,3130,0.18525683297775686
157,3150,0.1880498750251718
158,3170,0.1924589999835007
159,3190,0.19106049998663366
160,3210,0.19594454200705513
161,3230,0.19841416599228978
162,3250,0.20372145797591656
163,3270,0.20569166704081
164,3290,0.20581050001783296
165,3310,0.2091993329813704
166,3330,0.21312024997314438
167,3350,0.21874412498436868
168,3370,0.2222492920118384
169,3390,0.22481166699435562
170,3410,0.22905366600025445
171,3430,0.22277379204751924
172,3450,0.23255745804635808
173,3470,0.23301037499913946
174,3490,0.2357699170242995
175,3510,0.23522475000936538
176,3530,0.254377959005069
177,3550,0.24236179201398045
178,3570,0.24176745797740296
179,3590,0.244827541988343
180,3610,0.2493542080046609
181,3630,0.2524683339870535
182,3650,0.25749033299507573
183,3670,0.25588312500622123
184,3690,0.2588016660301946
185,3710,0.2615627500344999
186,3730,0.2673966659931466
187,3750,0.2664165410096757
188,3770,0.27740970795275643
189,3790,0.2751640829956159
190,3810,0.27486616699025035
191,3830,0.2795470840064809
192,3850,0.2834653750178404
193,3870,0.2842051250045188
194,3890,0.2872142919804901
195,3910,0.2927331250393763
196,3930,0.2958786250092089
197,3950,0.2983197499997914
198,3970,0.3007667910424061
199,3990,0.3064429590012878
