Dataset Index,Size,Time (s)
0,10,1.6417005099356174e-05
1,30,9.457988198846579e-06
2,50,1.4125020243227482e-05
3,70,1.9834027625620365e-05
4,90,1.875002635642886e-05
5,110,1.912500010803342e-05
6,130,2.6708992663770914e-05
7,150,2.1916988771408796e-05
8,170,2.395804040133953e-05
9,190,2.6083027478307486e-05
10,210,2.8790964279323816e-05
11,230,3.10409814119339e-05
12,250,3.2999960239976645e-05
13,270,3.508396912366152e-05
14,290,3.816699609160423e-05
15,310,4.0082959458231926e-05
16,330,4.2458006646484137e-05
17,350,4.562496906146407e-05
18,370,4.695798270404339e-05
19,390,4.966696724295616e-05
20,410,5.137501284480095e-05
21,430,5.358399357646704e-05
22,450,5.6124990805983543e-05
23,470,6.162497447803617e-05
24,490,6.812496576458216e-05
25,510,6.404198938980699e-05
26,530,6.508402293547988e-05
27,550,6.849999772384763e-05
28,570,7.06670107319951e-05
29,590,7.345800986513495e-05
30,610,7.504201494157314e-05
31,630,8.041597902774811e-05
32,650,8.029199671000242e-05
33,670,8.67500202730298e-05
34,690,8.787499973550439e-05
35,710,9.191595017910004e-05
36,730,8.970900671556592e-05
37,750,9.404204320162535e-05
38,770,0.00010445795487612486
39,790,0.00010545796249061823
40,810,0.00010283297160640359
41,830,0.0001045830431394279
42,850,0.0001134999911300838
43,870,0.00010729097994044423
44,890,0.00011541700223460793
45,910,0.00011074997019022703
46,930,0.00013358303112909198
47,950,0.00011504103895276785
48,970,0.0001230829511769116
49,990,0.0001195410150103271
50,1010,0.00012275000335648656
51,1030,0.0001337080029770732
52,1050,0.00012566702207550406
53,1070,0.0001302079763263464
54,1090,0.00013195897918194532
55,1110,0.0001361249596811831
56,1130,0.00013729202328249812
57,1150,0.0001461670035496354
58,1170,0.00014879199443385005
59,1190,0.0001479579950682819
60,1210,0.00014908297453075647
61,1230,0.00015054101822897792
62,1250,0.00015312503091990948
63,1270,0.00015337503282353282
64,1290,0.00015729101141914725
65,1310,0.0001585830468684435
66,1330,0.00016320805298164487
67,1350,0.0001687500043772161
68,1370,0.00016975001199170947
69,1390,0.0001705419854260981
70,1410,0.00017512502381578088
71,1430,0.000172999978531152
72,1450,0.00017658399883657694
73,1470,0.0001775420387275517
74,1490,0.00018174998695030808
75,1510,0.00019004195928573608
76,1530,0.00018579198513180017
77,1550,0.0001865830272436142
78,1570,0.00019341596635058522
79,1590,0.00020299997413530946
80,1610,0.00019770802464336157
81,1630,0.0001984169939532876
82,1650,0.00020333303837105632
83,1670,0.00020733301062136889
84,1690,0.00020420795772224665
85,1710,0.0002168749924749136
86,1730,0.0002395409974269569
87,1750,0.00023195799440145493
88,1770,0.00021895900135859847
89,1790,0.00022200000239536166
90,1810,0.0002191669773310423
91,1830,0.00022545800311490893
92,1850,0.00022358301794156432
93,1870,0.0002328749978914857
94,1890,0.0002311250427737832
95,1910,0.00023266702191904187
96,1930,0.0002346669789403677
97,1950,0.00023804098600521684
98,1970,0.00023983302526175976
99,1990,0.0002419580123387277
100,2010,0.00025158299831673503
101,2030,0.0002543749869801104
102,2050,0.00025512499269098043
103,2070,0.0002565419999882579
104,2090,0.00025420798920094967
105,2110,0.00025579199427738786
106,2130,0.0002608750364743173
107,2150,0.0002620000159367919
108,2170,0.000261999957729131
109,2190,0.00027895800303667784
110,2210,0.00028237502556294203
111,2230,0.0002773340092971921
112,2250,0.00028083298821002245
113,2270,0.0002817499917000532
114,2290,0.00028062501223757863
115,2310,0.00029075000202283263
116,2330,0.0002882080152630806
117,2350,0.0002878329833038151
118,2370,0.0003007500199601054
119,2390,0.0003136249724775553
120,2410,0.0003178329789079726
121,2430,0.00031520798802375793
122,2450,0.0003002079902216792
123,2470,0.0003048339858651161
124,2490,0.0003039590083062649
125,2510,0.00030579196754842997
126,2530,0.00030824996065348387
127,2550,0.000311249983496964
128,2570,0.0003144579823128879
129,2590,0.00031574995955452323
130,2610,0.0003172919969074428
131,2630,0.0003204160020686686
132,2650,0.00032599997939541936
133,2670,0.00032754201674833894
134,2690,0.00032887503039091825
135,2710,0.0003325419966131449
136,2730,0.00034212495665997267
137,2750,0.00034258299274370074
138,2770,0.00035704101901501417
139,2790,0.00035433401353657246
140,2810,0.00034429196966812015
141,2830,0.0003465830232016742
142,2850,0.0003492500400170684
143,2870,0.0003535409923642874
144,2890,0.00040437502320855856
145,2910,0.00037408299976959825
146,2930,0.00037220801459625363
147,2950,0.0003606249811127782
148,2970,0.00036691600689664483
149,2990,0.00038695900002494454
150,3010,0.0003695000195875764
151,3030,0.00036987499333918095
152,3050,0.00037637498462572694
153,3070,0.0003708330332301557
154,3090,0.00037349999183788896
155,3110,0.00038120802491903305
156,3130,0.00038466695696115494
157,3150,0.00039033294888213277
158,3170,0.0004006249946542084
159,3190,0.00039537501288577914
160,3210,0.0003969169920310378
161,3230,0.00039820896927267313
162,3250,0.0004978330107405782
163,3270,0.00041849998524412513
164,3290,0.0003969580284319818
165,3310,0.00040329096373170614
166,3330,0.00040799996349960566
167,3350,0.00041675003012642264
168,3370,0.00041512498864904046
169,3390,0.0004155829665251076
170,3410,0.0004189999890513718
171,3430,0.0004246670287102461
172,3450,0.0004212080384604633
173,3470,0.0004484170349314809
174,3490,0.00043112499406561255
175,3510,0.00042762502562254667
