Dataset Index,Size,Time (s)
0,10,1.2499978765845299e-05
1,30,8.957984391599894e-06
2,50,1.2375006917864084e-05
3,70,1.7584010493010283e-05
4,90,2.7499976567924023e-05
5,110,3.3167016226798296e-05
6,130,4.57499991171062e-05
7,150,4.75000124424696e-05
8,170,5.533394869416952e-05
9,190,5.708396201953292e-05
10,210,7.149996235966682e-05
11,230,7.350003579631448e-05
12,250,8.054095087572932e-05
13,270,9.308295557275414e-05
14,290,0.00010479200864210725
15,310,0.00011304201325401664
16,330,0.00011858297511935234
17,350,0.00013520801439881325
18,370,0.00013175001367926598
19,390,0.00015020801220089197
20,410,0.0001562499674037099
21,430,0.00016733299707993865
22,450,0.00016541697550565004
23,470,0.00023029203293845057
24,490,0.00019416603026911616
25,510,0.00019458401948213577
26,530,0.00021091703092679381
27,550,0.0002215419663116336
28,570,0.0002187910140492022
29,590,0.00023387500550597906
30,610,0.00023683300241827965
31,630,0.00026216701371595263
32,650,0.0002755419700406492
33,670,0.0002885840367525816
34,690,0.0003016670234501362
35,710,0.00030637497548013926
36,730,0.00030529097421094775
37,750,0.00031762500293552876
38,770,0.00031483295606449246
39,790,0.00034437503200024366
40,810,0.0003333750064484775
41,830,0.00033783295657485723
42,850,0.00035679101711139083
43,870,0.0003827909822575748
44,890,0.0003790420014411211
45,910,0.0004463339573703706
46,930,0.0003892499953508377
47,950,0.00040808296762406826
48,970,0.0004172499757260084
49,990,0.00043383397860452533
50,1010,0.00043408299097791314
51,1030,0.0005166669725440443
52,1050,0.0005465840222314
53,1070,0.0004950830480083823
54,1090,0.000497707980684936
55,1110,0.0005350830033421516
56,1130,0.0005485829897224903
57,1150,0.000515791994985193
58,1170,0.0005162089946679771
59,1190,0.0005789580172859132
60,1210,0.0005246250075288117
61,1230,0.0005645419587381184
62,1250,0.0006216250476427376
63,1270,0.0005890000029467046
64,1290,0.0005866669816896319
65,1310,0.000596208032220602
66,1330,0.000628375040832907
67,1350,0.0006075419951230288
68,1370,0.0006217079935595393
69,1390,0.000662042002659291
70,1410,0.0007270000060088933
71,1430,0.0006771659827791154
72,1450,0.0007263750303536654
73,1470,0.0007487080292776227
74,1490,0.0007013750146143138
75,1510,0.0007415830041281879
76,1530,0.0006889580399729311
77,1550,0.0007559999939985573
78,1570,0.0007802080363035202
79,1590,0.0007939999923110008
80,1610,0.0007360830204561353
81,1630,0.0007606250001117587
82,1650,0.0008373749442398548
83,1670,0.0008727090316824615
84,1690,0.0007935839821584523
85,1710,0.0009427500190213323
86,1730,0.0008698750170879066
87,1750,0.0008901249966584146
88,1770,0.0008414159528911114
89,1790,0.0009377080132253468
90,1810,0.0009159579640254378
91,1830,0.0008902919944375753
92,1850,0.0009788749739527702
93,1870,0.0009257079800590873
94,1890,0.0009051670203916728
95,1910,0.0009624160011298954
96,1930,0.0009236670448444784
97,1950,0.0010641670087352395
98,1970,0.001002709032036364
99,1990,0.0009930829983204603
100,2010,0.0009862090228125453
101,2030,0.0010469589615240693
102,2050,0.001062333001755178
103,2070,0.000993874971754849
104,2090,0.0010379169834777713
105,2110,0.001117665960919112
106,2130,0.0011175000108778477
107,2150,0.001043875003233552
108,2170,0.0011764999944716692
109,2190,0.0011428750003688037
110,2210,0.001128958014305681
111,2230,0.0012148750247433782
112,2250,0.001184707973152399
113,2270,0.0010919999913312495
114,2290,0.0011194999678991735
115,2310,0.0011866249842569232
116,2330,0.0012135000433772802
117,2350,0.0011907919542863965
118,2370,0.0012493329704739153
119,2390,0.001233292045071721
120,2410,0.0013095000176690519
121,2430,0.0012239170027896762
122,2450,0.0012217499897815287
123,2470,0.0013285839813761413
124,2490,0.0014181670267134905
125,2510,0.001303124998230487
126,2530,0.0013237919774837792
127,2550,0.0013439999893307686
128,2570,0.001261875033378601
129,2590,0.0013563749962486327
130,2610,0.001441375003196299
131,2630,0.0013931659632362425
132,2650,0.0013821250176988542
133,2670,0.001442125008907169
